Peak,Region,Type,Index (F1),?(F1) [ppm],?(F1) [Hz],Intensity [abs],Intensity [rel],Half width [ppm],Half width [Hz],Annotation,
1,1,AUTOMATIC,8248.7,7.7381,5414.5921,30960.36,1.11,0.0020,1.4129,,
2,1,AUTOMATIC,8756.1,7.5673,5295.0933,52095.57,1.89,0.0020,1.4129,,
3,1,AUTOMATIC,9106.3,7.4495,5212.6446,51453.19,1.85,0.0017,1.1774,,
4,1,AUTOMATIC,9405.1,7.3489,5142.2690,59307.38,2.15,0.0020,1.4129,,
5,1,AUTOMATIC,21411.7,3.3085,2315.0333,198064.18,7.10,0.0013,0.9419,,
6,1,AUTOMATIC,22886.4,2.8122,1967.7577,203077.79,7.27,0.0013,0.9419,,
7,1,AUTOMATIC,23497.8,2.6064,1823.7941,88568.32,3.20,0.0013,0.9419,,
8,1,AUTOMATIC,25403.1,1.9653,1375.1547,149426.66,5.46,0.0013,0.9419,,
9,1,AUTOMATIC,26690.3,1.5321,1072.0405,124675.73,4.47,0.0013,0.9419,,
10,1,AUTOMATIC,28266.4,1.0017,700.9069,418978.15,15.00,0.0013,0.9419,,
